"RefSeq number"	"Virus name"	"Species"	"Virus name"	"Isolate"	"Accession number"	"RefSeq number"	"Virus Abbrev."	"taxo"
"NC_007923"	"Finch polyomavirus"	"Pyrrhula pyrrhula polyomavirus 1"	"finch polyomavirus"		"DQ192571"	"NC_007923"	"FpyV"	"gamma"
"NC_026244"	"Giant guitarfish polyomavirus 1 isolate UGA1"	"Rhynchobatus djiddensis polyomavirus 1"	"giant guitarfish polyomavirus"	"UGA1"	"KP264963"	"NC_026244"	"GfPyV1"	"unassigned"
"NC_035181"	"Giant panda polyomavirus isolate GPPyV1"	"Ailuropoda melanoleuca polyomavirus 1"	"giant panda polyomavirus"	"GPPyV1"	"KY612371"	"NC_035181"	"AmelPyV1"	"unassigned"
"NC_040821"	"Glis glis polyomavirus 1 isolate 3327 ID3a"			"3327 ID3a"		"NC_040821"	"GlisPyV1"	"unassigned"
"NC_004800"	"Goose hemorrhagic polyomavirus"	"Anser anser polyomavirus 1"	"goose hemorrhagic polyomavirus"	"Germany 2001"	"AY140894"	"NC_004800"	"GHPV"	"gamma"
"NC_025380"	"Gorilla gorilla gorilla polyomavirus 1 isolate 5766"	"Gorilla gorilla polyomavirus 1"	"Gorilla gorilla gorilla polyomavirus 1"	5766	"HQ385752"	"NC_025380"	"GgorgPyV1"	"alpha"
"NC_001663"	"Hamster polyomavirus isolate Berlin-Buch"	"Mesocricetus auratus polyomavirus 1"	"hamster polyomavirus"	"Berlin-Buch"	"JX036360"	"NC_001663"	"HaPyV"	"alpha"
"NC_020890"	"Human polyomavirus 12 strain hu1403"		"Human polyomavirus 12"	"hu1403"	"JX308829.1"	"NC_020890"	"HPyV12"	"alpha"
"NC_014406"	"Human polyomavirus 6"	"Human polyomavirus 6"	"human polyomavirus 6"	"607a"	"HM011560"	"NC_014406"	"HPyV6"	"delta"
"NC_014407"	"Human polyomavirus 7"	"Human polyomavirus 7"	"human polyomavirus 7"	"713a"	"HM011566"	"NC_014407"	"HPyV7"	"delta"
"NC_015150"	"Human polyomavirus 9"	"Human polyomavirus 9"	"human polyomavirus 9"	2540	"HQ696595"	"NC_015150"	"HPyV9"	"alpha"
"NC_001699"	"JC polyomavirus"	"Human polyomavirus 2"	"JC polyomavirus"	"Mad1"	"J02226"	"NC_001699"	"JC virus; JCV; JCPyV"	"beta"
"NC_009238"	"KI polyomavirus Stockholm 60"	"Human polyomavirus 3"	"KI polyomavirus"	"Stockholm 60"	"EF127906"	"NC_009238"	"KIPyV"	"beta"
"NC_032120"	"Leptonychotes weddellii polyomavirus 1 isolate WSK37"	"Leptonychotes weddellii polyomavirus 1"	"Weddell seal polyomavirus"	17461	"KX533457"	"NC_032120"	"WsPyV"	"beta"
"NC_034253"	"LI polyomavirus isolate LIPyV"			"LIPyV"		"NC_034253"	"LIPyV"	"unassigned"
"NC_039053"	"Lonchura maja polyomavirus 1 strain 14534/2011"	"Lonchura maja polyomavirus 1"	"Hungarian finch polyomavirus"	"14534/2011"	"KX756154"	"NC_039053"	"HunFPyV"	"gamma"
"NC_019851"	"Macaca fascicularis polyomavirus 1"	"Macaca fascicularis polyomavirus 1"	"Macaca fascicularis polyomavirus 1"	2085	"JX159986"	"NC_019851"	"MfasPyV1"	"alpha"
"NC_030148"	"Marbled eel polyomavirus isolate AMV-1"			"AMV-1"		"NC_030148"	"eelPyV"	"unassigned"
"NC_025895"	"Mastomys natalensis polyomavirus 1 DNA"	"Mastomys natalensis polyomavirus 1"	"Mastomys polyomavirus"	"NR55"	"AB588640"	"NC_025895"	"MasPyV"	"beta"
"NC_026473"	"Meles meles polyomavirus 1 isolate French"	"Meles meles polyomavirus 1"	"Meles meles polyomavirus 1"	"French"	"KP644238"	"NC_026473"	"MmelPyV1"	"beta"
"NC_010277"	"Merkel cell polyomavirus isolate R17b"	"Human polyomavirus 5"	"Merkel cell polyomavirus"	"R17b"	"HM011556"	"NC_010277"	"MCPyV"	"alpha"
"NC_020069"	"Miniopterus africanus polyomavirus 1 isolate KY369"	"Miniopterus africanus polyomavirus 1"	"Miniopterus polyomavirus"	"KY369"	"JX520661"	"NC_020069"	"MiniopterusPyV"	"beta"
"NC_034220"	"Miniopterus schreibersii polyomavirus 1 DNA"	"Miniopterus schreibersii polyomavirus 1"	"Miniopterus schreibersii polyomavirus 1"	"12SuB07"	"LC185213"	"NC_034220"	"MschPyV1"	"alpha"
"NC_034221"	"Miniopterus schreibersii polyomavirus 2 DNA"	"Miniopterus schreibersii polyomavirus 2"	"Miniopterus schreibersii polyomavirus 2"	"12SuB08"	"LC185216"	"NC_034221"	"MschPyV2"	"alpha"
"NC_028123"	"Molossus molossus polyomavirus 1 isolate B1130"	"Molossus molossus polyomavirus 1"	"bat polyomavirus 3b"	"B1130"	"JQ958893"	"NC_028123"	"BatPyV3b"	"alpha"
"NC_001505"	"Murine pneumotropic virus"				"M55904.2"	"NC_001505"	"MPtV"	"beta"
"KT987216"	"Murine pneumotropic virus isolate #6018"	"Mus musculus polyomavirus 2"	"mouse pneumotropic virus"	"#6018"	"KT987216"		"MPtV"	"beta"
"NC_001515"	"Murine polyomavirus strain BG"	"Mus musculus polyomavirus 1"	"mouse polyomavirus"	"BG"	"AF442959"	"NC_001515"	"MPyV"	"alpha"
"NC_018102"	"MW polyomavirus"	"Human polyomavirus 10"	"MW polyomavirus"	"MA095"	"JQ898291"	"NC_018102"	"MWPyV"	"delta"
"NC_040573"	"Myocastor coypus polyomavirus 1"					"NC_040573"	"MyoCaPyV1"	"unassigned"
"NC_011310"	"Myotis polyomavirus VM-2008"	"Myotis lucifugus polyomavirus 1"	"Myotis polyomavirus"	"VM2008_14"	"FJ188392"	"NC_011310"	"MyPyV"	"beta"
"NC_024118"	"New Jersey polyomavirus-2013 isolate NJ-PyV-2013"	"Human polyomavirus 13"	"New Jersey polyomavirus"	2013	"KF954417"	"NC_024118"	"NJPyV"	"alpha"
"NC_020066"	"Otomops polyomavirus KY156"	"Otomops martiensseni polyomavirus 2"	"Otomops polyomavirus 2"	"KY156"	"JX520658"	"NC_020066"	"OtomopsPyV2"	"alpha"
"NC_020071"	"Otomops polyomavirus KY157"	"Otomops martiensseni polyomavirus 1"	"Otomops polyomavirus 1"	"KY157"	"JX520664"	"NC_020071"	"OtomopsPyV1"	"alpha"
"NC_025370"	"Pan troglodytes polyomavirus 3 isolate 6512"	"Pan troglodytes polyomavirus 3"	"Pan troglodytes verus polyomavirus 2a"	6512	"HQ385748"	"NC_025370"	"PtrovPyV2a"	"alpha"
"NC_019855"	"Pan troglodytes polyomavirus 4 isolate 3161"	"Pan troglodytes polyomavirus 4"	"Pan troglodytes verus polyomavirus 3"	3161	"JX159980"	"NC_019855"	"PtrovPyV3"	"alpha"
"NC_019856"	"Pan troglodytes polyomavirus 5 isolate 3147"	"Pan troglodytes polyomavirus 5"	"Pan troglodytes verus polyomavirus 4"	3147	"JX159981"	"NC_019856"	"PtrovPyV4"	"alpha"
